700: 452,575,431,132,688,624
701: 316,938,264,451,927,431
702: 361,913,304,351,526,354
1241: 293,670,265,166,963
704: 177,615,157,286,359
705: 674,325,329,658,1070
706: 459,469,25,1203,28,633
707: 378,483,635
708: 415,367,886,787
1272: 565,892,1155,665
710: 1240,1252,1233,1149,800,929
711: 745,603,1089,96,605,64
712: 548,1204,4,883,315,968
713: 759,263,58,878,641,628
714: 1248,1188,671,339,1053,1131
715: 657,611,468,576,337,587
716: 856,167,377,329,6
717: 1078,1128,508,176,632,1085,1077
718: 179,546,869,990,209,276
719: 216,626,726,885,673,744
720: 904,628,641,1189,198,131
721: 461,557,234,429,1224,353,274
1184: 1172,1038,1151,1086,1126,515
723: 45,1065,1004,1103,1166,821,1194
724: 104,950,544,353,461,2
725: 292,1229,140
726: 117,937,885,826,744,719
727: 940,374,192,1147,917,782
728: 243,129,697,578,168
729: 635,376,295,866,1091,332
730: 1207,436,7,337,900,572
731: 1176,554,478,1048,1087
732: 267,296,484,619,1025
733: 164,1278,1277,648,35
734: 69,613,820,1235,989,155
735: 339,227,1293,843,758
736: 16,38,842,899,585,567
1183: 954,683,942,1017,844,36
738: 543,893,969,1088,1217,54
1227: 283,838,212,205,948,389
740: 1135,439,545,433,1077,24,1147
741: 473,662,863,1237
742: 1287,633,642,1050,745
1286: 501,1273,939,1290,1254
744: 673,1141,726,937,659,719
745: 711,603,1089,1050,742,642
746: 563,581,183,565,665,425,273
747: 629,699,27,1220,555,884
748: 914,234,1009,437,966
1198: 1154,525,1,681,487
750: 875,114,972,928,1294,530
751: 408,1164,0,589,597,558
752: 111,116,60,777
753: 498,1214,348,86
754: 206,584,23,945,822,823
755: 1277,168,648,243,380
1174: 1051,1041,1032,73,1064
757: 760,488,957,592
758: 305,1248,339,735,476
759: 713,263,878,53,481,865,678
760: 757,488,3,1050,603
1159: 1182,452,1121,378
762: 55,794,529,31,568,908,413
763: 957,3
1168: 1001,1304,1,681,1028,915
1153: 188,1178,233,1144,971,1160
1229: 292,804,725,140,343,269,1073
767: 675,1031,466,1081,810,214
768: 194,1024,840,433,1135
769: 256,990,357,209,1000,998
1301: 53,897,877,200,799,924
771: 124,606,95,539
1240: 121,710,1252,1228,455,1149
773: 314,1209,936,149,527,345,694
774: 67,876,1261,350,1302
1252: 121,710,1240,1271,1233,653
776: 317,174,1245,1234,289
777: 1234,60,174,752
778: 179,1170,260,990,357
779: 801,854,393,829,788,888
780: 577,815,132,1182
781: 262,588,1269,1176,328
782: 284,727,940,1305
783: 381,266,512,811,1119,1164
784: 604,27,32,395,560,296
785: 369,1257,862,920,193,327
786: 1132,1110,1167,333,99,1060
